Player,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),HSD (m),HSD Ratio
Benny,9/6 passing shoot,730.0,7.0,48.666666666666664,6.5,4.0,0.005479452054794521
Benny,9/6 man down offense 1,490.0,7.0,54.44444444444444,5.4,0.0,0.0
Benny,9/6 man down offense 2,410.0,7.0,45.55555555555556,5.8,0.0,0.0
Benny,9/6 5v5,420.0,7.0,60.0,5.7,0.0,0.0
Benny,9/6 Training Total,2700.0,7.0,51.92307692307692,6.5,5.0,0.001851851851851852
Benny,9/6 Game 1,510.0,7.0,72.85714285714286,7.7,7.0,0.013725490196078431
Benny,9/6 Game 2,630.0,7.0,78.75,7.5,51.0,0.08095238095238096
Benny,9/6 Game 3,470.0,7.0,78.33333333333333,6.9,6.0,0.01276595744680851
Benny,9/6 Game 4,1020.0,7.0,78.46153846153847,6.8,17.0,0.016666666666666666
Benny,9/6 Game Total,2630.0,7.0,77.3529411764706,7.7,81.0,0.030798479087452472
Leo,3/8 Training 1 ,3380.0,6.0,45.67567567567568,9.1,126.0,0.03727810650887574
Leo,3/8 Training 2,490.0,6.0,49.0,5.1,0.0,0.0
Leo,3/8 Training Total,3870.0,6.0,46.07142857142857,9.1,126.0,0.03255813953488372
Leo,3/8 Game 1,690.0,6.0,76.66666666666667,7.2,16.0,0.02318840579710145
Leo,3/8 Game 2,550.0,6.0,61.111111111111114,6.3,2.0,0.0036363636363636364
Leo,3/8 Game Total,1240.0,6.0,68.88888888888889,7.2,18.0,0.014516129032258065
Leo,3/29 Training 1,2370.0,7.0,57.80487804878049,6.9,4.0,0.0016877637130801688
Leo,3/29 Training 2,730.0,7.0,48.666666666666664,7.0,4.0,0.005479452054794521
Leo,3/29 Training 3,830.0,7.0,59.285714285714285,7.0,23.0,0.027710843373493974
Leo,3/29 Training 4,1090.0,7.0,51.904761904761905,5.4,0.0,0.0
Leo,3/29 Training 5,670.0,7.0,51.53846153846154,4.8,0.0,0.0
Leo,3/29 Training 6,430.0,7.0,53.75,6.0,0.0,0.0
Leo,3/29 Training Total,6120.0,7.0,54.642857142857146,7.0,31.0,0.005065359477124183
Leo,3/29 Game 1,510.0,7.0,85.0,6.5,102.0,0.2
Leo,3/29 Game 2,520.0,7.0,74.28571428571429,6.6,10.0,0.019230769230769232
Leo,3/29 Game Total,1030.0,7.0,79.23076923076923,6.6,112.0,0.1087378640776699
Leo,4/19 Training Total,920.0,6.0,57.5,6.1,1.0,0.0010869565217391304
Leo,4/19 Game 1,430.0,6.0,71.66666666666667,6.7,21.0,0.04883720930232558
Leo,4/19 Game 2,500.0,6.0,83.33333333333333,6.3,1.0,0.002
Leo,4/19 Game 3,510.0,6.0,85.0,7.1,9.0,0.01764705882352941
Leo,4/19 Game 4,510.0,6.0,72.85714285714286,6.0,0.0,0.0
Leo,4/19 Game 5,560.0,6.0,80.0,6.5,5.0,0.008928571428571428
Leo,4/19 Game 6,430.0,6.0,71.66666666666667,6.7,6.0,0.013953488372093023
Leo,4/19 Game Total,3860.0,6.0,71.48148148148148,8.7,43.0,0.011139896373056995
Leo,5/10 Training 1,360.0,5.0,60.0,5.9,0.0,0.0
Leo,5/10 Training 2,550.0,5.0,68.75,7.6,3.0,0.005454545454545455
Leo,5/10 Training 3,720.0,5.0,45.0,6.1,1.0,0.001388888888888889
Leo,5/10 Training 4,820.0,5.0,68.33333333333333,7.1,10.0,0.012195121951219513
Leo,5/10 Training 5,560.0,5.0,50.90909090909091,6.2,1.0,0.0017857142857142857
Leo,5/10 Training 6,580.0,5.0,52.72727272727273,7.1,12.0,0.020689655172413793
Leo,5/10 Training 7,1840.0,5.0,57.5,7.6,4.0,0.002173913043478261
Leo,5/10 Training Total,5430.0,5.0,56.5625,7.6,31.0,0.00570902394106814
Leo,5/10 Game 1,260.0,5.0,65.0,5.8,0.0,0.0
Leo,5/10 Game 2,280.0,5.0,70.0,5.4,0.0,0.0
Leo,5/10 Game 3,290.0,5.0,58.0,6.2,1.0,0.0034482758620689655
Leo,5/10 Game Total,830.0,5.0,63.84615384615385,6.2,1.0,0.0012048192771084338
Leo,5/31 Training 1,630.0,5.0,52.5,6.2,1.0,0.0015873015873015873
Leo,5/31 Training 2,920.0,5.0,51.111111111111114,5.9,0.0,0.0
Leo,5/31 Training 3,470.0,5.0,47.0,5.1,0.0,0.0
Leo,5/31 Training 4,740.0,5.0,46.25,5.0,0.0,0.0
Leo,5/31 Training 5,470.0,5.0,52.22222222222222,5.8,0.0,0.0
Leo,5/31 Training 6,470.0,5.0,47.0,5.3,0.0,0.0
Leo,5/31 Training 7,660.0,5.0,55.0,5.8,0.0,0.0
Leo,5/31 Training 8,390.0,5.0,65.0,5.8,0.0,0.0
Leo,5/31 Training Total,4750.0,5.0,51.075268817204304,6.2,1.0,0.0002105263157894737
Leo,7/12 Training 1,410.0,5.0,51.25,4.7,0.0,0.0
Leo,7/12 Training 2,850.0,6.0,53.125,6.0,1.0,0.001176470588235294
Leo,7/12 Training 3,680.0,6.0,68.0,8.2,25.0,0.03676470588235294
Leo,7/12 Training 4,570.0,6.0,43.84615384615385,6.3,1.0,0.0017543859649122807
Leo,7/12 Training 5,700.0,7.0,50.0,5.1,0.0,0.0
Leo,7/12 Training 6,560.0,7.0,40.0,4.8,0.0,0.0
Leo,7/12 Training 7,430.0,8.0,61.42857142857143,5.2,0.0,0.0
Leo,7/12 Training Total,4200.0,6.0,51.21951219512195,8.2,27.0,0.0064285714285714285
Leo,8/23 Training 1,650.0,6.0,72.22222222222223,7.7,11.0,0.016923076923076923
Leo,8/23 Training 2,480.0,6.0,48.0,6.9,6.0,0.0125
Leo,8/23 Training 3,400.0,6.0,57.142857142857146,6.7,1.0,0.0025
Leo,8/23 Training 4,460.0,6.0,51.111111111111114,6.0,0.0,0.0
Leo,8/23 Training 5,470.0,6.0,42.72727272727273,3.8,0.0,0.0
Leo,8/23 Training 6,470.0,6.0,52.22222222222222,6.3,6.0,0.01276595744680851
Leo,8/23 Training 7,310.0,6.0,38.75,6.6,2.0,0.0064516129032258064
Leo,8/23 Training 8,450.0,6.0,45.0,4.7,0.0,0.0
Leo,8/23 Training 9,310.0,6.0,44.285714285714285,6.4,1.0,0.0032258064516129032
Leo,8/23 Training Total,4000.0,6.0,50.0,7.7,27.0,0.00675
Leo,9/6 corner passing shoot,650.0,6.0,54.166666666666664,5.1,0.0,0.0
Leo,9/6 passing shoot,700.0,6.0,46.666666666666664,6.8,5.0,0.007142857142857143
Leo,9/6 man down offense 1,640.0,6.0,71.11111111111111,6.2,1.0,0.0015625
Leo,9/6 man down offense 2,490.0,6.0,54.44444444444444,6.2,1.0,0.0020408163265306124
Leo,9/6 5v5,360.0,6.0,51.42857142857143,6.5,3.0,0.008333333333333333
Leo,9/6 Training Total,2840.0,6.0,54.61538461538461,6.8,10.0,0.0035211267605633804
